"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahamas, The","BHS","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.90161","-2.90121","-2.80011","-3.07891","-3.00471","-3.01451","-2.77131","-2.54301","-2.48371","-2.72331","-2.56731","-2.98991","-2.82281","-2.74011","-2.69351","-2.70641","-2.57571","-2.43861","-2.26821","-2.03071","-2.36861","-2.21081","-2.20211","","",
"Bosnia and Herzegovina","BIH","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8227118181818","12.1279","15.7194","15.8669","15.05906","15.69875","18.19565","18.90031","20.61024","19.79133","22.6516","25.72","21.96646","23.1878","21.465","21.421","24.8288","25.4314","25.834","24.1278","24.0468","23.8807","23.8417","","",
"Belarus","BLR","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.3478357198004","44.8795241875123","46.2928552039017","49.5831569386678","51.0508420068493","49.1379126773317","49.3093396938974","45.5786844927883","52.8328433131033","46.9646497582268","48.756330824073","47.0171153607917","50.4368953068513","48.4104307746517","48.2420908622062","45.3303467732799","48.3158815551511","53.2062582213977","53.5531550561365","55.6519579650912","51.0752642982567","45.591008938382","43.698908938382","","",
"Belize","BLZ","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.206016","-8.94103866666667","-8.60146533333333","-11.332363","-12.3588193333333","-12.4223406666667","-10.705943","-10.9356123333333","-11.2593636666667","-9.482112","-11.6014133333333","-3.42138066666667","-7.244558","-5.34363428571428","-8.96305657142857","-5.68991585714286","-5.97360214285714","-6.23928842857143","-10.4015687142857","-8.002229","-8.049829","-8.015029","-7.991729","","",
"Bermuda","BMU","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.0881","68.5795","69.7716","70.7199","72.0845","72.6481","73.6925","78.3849","72.3073","73.7073","77.0636","77.8365","79.5848","81.3876","82.4143","83.378","85.127","85.7626","86.4142","87.3187","84.1521","88.2445","89.6385","","",
"Brazil","BRA","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009.4369","1970.1217","2192.8423","3263.1121","3498.5242","2505.1545","2165.4989","1842.177","1975.4419","1335.4677","1349.9364","1465.8998","1354.9883","1589.9382","1482.3892","1587.1013","1593.2365","1604.4439","1581.4953","1585.8067","1581.4031","1659.9155","1663.8934","","",
"Barbados","BRB","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.798886956521739","0.7487","0.7777","0.8072","0.801","0.8144","0.851","0.8174","0.9526","0.945","0.9616","0.8206","0.78","0.8644","0.8019","0.8535","0.9083","0.8184","0.876","0.9727","0.8057","0.8904","0.8928","","",
"Brunei Darussalam","BRN","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.949","6.194","5.3621","6.3779","5.8764","5.5587","8.7917","8.2778","10.3796","8.4906","7.4503","8.09955","7.75046","7.66613","7.8543","7.1435","7.5525","7.5499","7.7783","7.4471","9.8944","9.6527","9.2077","","",
"Bhutan","BTN","Total greenhouse gas emissions including LULUCF (Mt CO2e)","EN.GHG.ALL.LU.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.561765","-6.149931","-6.622875","-7.132213","-7.291139","-6.791551","-5.990531","-3.764483","-6.442529","-6.599895","-6.146553","-5.837768","-5.936208","-5.807452","-3.895815","-5.394906","-5.237606","-5.079106","-4.811506","-4.647006","-4.912406","-4.790606","-4.760006","","",
